_id,simulationSnapshot,droneId,status,remainingFuel,speed,position.x,position.y
ObjectID(545a366afd19ec4943e33f60),ObjectID(545a366afd19ec4943e33f5f),1,1,54.8,90,127,-4
ObjectID(545a366afd19ec4943e33f6e),ObjectID(545a366afd19ec4943e33f6d),1,1,54.8,90,127,-4
ObjectID(545a366bfd19ec4943e33f7d),ObjectID(545a366bfd19ec4943e33f7c),1,1,130,90,300,-25
ObjectID(545a366bfd19ec4943e33f8a),ObjectID(545a366bfd19ec4943e33f89),1,1,130,90,300,-25
ObjectID(545a366dfd19ec4943e33f98),ObjectID(545a366dfd19ec4943e33f97),1,1,54.8,90,127,-4
ObjectID(545a366dfd19ec4943e33fa6),ObjectID(545a366dfd19ec4943e33fa5),1,1,54.8,90,127,-4
ObjectID(545a3671fd19ec4943e33fb5),ObjectID(545a3671fd19ec4943e33fb4),1,1,54.8,90,127,-4
ObjectID(545a3671fd19ec4943e33fc3),ObjectID(545a3671fd19ec4943e33fc2),1,1,54.8,90,127,-4
ObjectID(545a3673fd19ec4943e33fd1),ObjectID(545a3673fd19ec4943e33fd0),1,1,54.75649999999979,90,127,-4.21625
ObjectID(545a3673fd19ec4943e33fde),ObjectID(545a3673fd19ec4943e33fdd),1,1,54.75324999999977,90,127,-4.2325
ObjectID(545a3674fd19ec4943e33feb),ObjectID(545a3674fd19ec4943e33fea),1,1,54.76549999999983,90,127,-4.17125
ObjectID(545a3676fd19ec4943e33ff9),ObjectID(545a3676fd19ec4943e33ff8),1,1,54.8,90,127,-4
ObjectID(545a3676fd19ec4943e34007),ObjectID(545a3676fd19ec4943e34006),1,1,54.8,90,127,-4
ObjectID(545a3677fd19ec4943e34015),ObjectID(545a3677fd19ec4943e34014),1,1,54.77024999999986,90,127,-4.1475
ObjectID(545a3678fd19ec4943e34022),ObjectID(545a3678fd19ec4943e34021),1,1,108.4877500005087,90,220.00054,-69.99969
ObjectID(545a3678fd19ec4943e3402d),ObjectID(545a3678fd19ec4943e34021),2,1,198.4880000005087,90,140,-360
ObjectID(545a3678fd19ec4943e34036),ObjectID(545a3678fd19ec4943e34021),3,1,198.4880000005087,90,589.3092,-401.1378
ObjectID(545a3678fd19ec4943e3403d),ObjectID(545a3678fd19ec4943e3403c),1,1,108.4877500005087,90,220.00054,-69.99969
ObjectID(545a3678fd19ec4943e34048),ObjectID(545a3678fd19ec4943e3403c),2,1,198.4880000005087,90,140,-360
ObjectID(545a3678fd19ec4943e34054),ObjectID(545a3678fd19ec4943e3403c),3,1,198.4880000005087,90,589.3092,-401.1378
ObjectID(545a3679fd19ec4943e3405b),ObjectID(545a3679fd19ec4943e3405a),1,1,54.76199999999982,90,127,-4.18875
ObjectID(545a367bfd19ec4943e34068),ObjectID(545a367bfd19ec4943e34067),1,1,54.75299999999977,90,127,-4.23375
ObjectID(545a367cfd19ec4943e34075),ObjectID(545a367cfd19ec4943e34074),1,1,54.71499999999959,90,127,-4.42375
ObjectID(545a367dfd19ec4943e34082),ObjectID(545a367dfd19ec4943e34081),1,1,54.71049999999957,90,127,-4.44625
ObjectID(545a367dfd19ec4943e3408f),ObjectID(545a367dfd19ec4943e3408e),1,1,54.70799999999956,90,127,-4.45875
ObjectID(545a367efd19ec4943e3409c),ObjectID(545a367efd19ec4943e3409b),1,1,54.70574999999955,90,127,-4.47
ObjectID(545a3680fd19ec4943e340aa),ObjectID(545a3680fd19ec4943e340a9),1,1,54.69799999999951,90,127,-4.50875
ObjectID(545a3683fd19ec4943e340b7),ObjectID(545a3683fd19ec4943e340b6),1,1,54.68049999999943,90,127,-4.59625
ObjectID(545a3684fd19ec4943e340c4),ObjectID(545a3684fd19ec4943e340c3),1,1,54.7384999999997,90,127,-4.30625
ObjectID(545a3684fd19ec4943e340d1),ObjectID(545a3684fd19ec4943e340d0),1,1,54.67649999999941,90,127,-4.61625
ObjectID(545a3685fd19ec4943e340de),ObjectID(545a3685fd19ec4943e340dd),1,1,54.6739999999994,90,127,-4.62875
ObjectID(545a368afd19ec4943e340ec),ObjectID(545a368afd19ec4943e340eb),1,1,54.8,90,127,-4
ObjectID(545a368afd19ec4943e340fa),ObjectID(545a368afd19ec4943e340f9),1,1,54.8,90,127,-4
ObjectID(545a368bfd19ec4943e34108),ObjectID(545a368bfd19ec4943e34107),1,1,54.70324999999954,90,127,-4.4825
ObjectID(545a368cfd19ec4943e34115),ObjectID(545a368cfd19ec4943e34114),1,1,54.64124999999924,90,127,-4.7925
ObjectID(545a368dfd19ec4943e34122),ObjectID(545a368dfd19ec4943e34121),1,1,54.63899999999923,90,127,-4.80375
ObjectID(545a368dfd19ec4943e3412f),ObjectID(545a368dfd19ec4943e3412e),1,1,54.69474999999949,90,127,-4.525
ObjectID(545a368efd19ec4943e3413c),ObjectID(545a368efd19ec4943e3413b),1,1,54.63099999999919,90,127,-4.84375
ObjectID(545a368ffd19ec4943e34149),ObjectID(545a368ffd19ec4943e34148),1,1,54.62549999999916,90,127,-4.87125
ObjectID(545a3690fd19ec4943e34156),ObjectID(545a3690fd19ec4943e34155),1,1,54.68224999999943,90,127,-4.5875
ObjectID(545a3690fd19ec4943e34163),ObjectID(545a3690fd19ec4943e34162),1,1,54.62399999999916,90,126.98038,-4.87875
ObjectID(545a3690fd19ec4943e34171),ObjectID(545a3690fd19ec4943e34170),1,1,54.62174999999915,90,127,-4.89
ObjectID(545a3691fd19ec4943e3417f),ObjectID(545a3691fd19ec4943e3417e),1,1,54.8,90,127,-4
ObjectID(545a3691fd19ec4943e3418d),ObjectID(545a3691fd19ec4943e3418c),1,1,54.8,90,127,-4
ObjectID(545a3691fd19ec4943e3419b),ObjectID(545a3691fd19ec4943e3419a),1,1,54.61674999999912,90,127,-4.915
ObjectID(545a3692fd19ec4943e341a8),ObjectID(545a3692fd19ec4943e341a7),1,1,54.67149999999938,90,127,-4.64125
ObjectID(545a3692fd19ec4943e341b5),ObjectID(545a3692fd19ec4943e341b4),1,1,54.61374999999911,90,126.99186,-4.92877
ObjectID(545a3693fd19ec4943e341c3),ObjectID(545a3693fd19ec4943e341c2),1,1,54.60874999999908,90,127,-4.955
