_id,simulation,simulationSpeed,elapsedRealTime,elapsedSimulationTime,cause.id,cause.params.inputId,cause.params.droneId,cause.params.detectorId,cause.params.controlModeId,cause.params.selected,cause.params.controlMode.id,cause.params.controlMode.key,cause.params.incidentId,cause.params.incidentType,cause.params.targetPosition,cause.params.type,cause.params.id
ObjectID(545a3684fd19ec4943e340c3),ObjectID(545a3676fd19ec4943e33ff7),1,12350,12350,0,0,1,,,,,,,,,,
ObjectID(545a3684fd19ec4943e340d0),ObjectID(545a3669fd19ec4943e33f41),1,24750,24750,0,4,1,,,,,,,,,,
ObjectID(545a3685fd19ec4943e340dd),ObjectID(545a3669fd19ec4943e33f41),1,25250,25250,0,4,1,,,,,,,,,,
ObjectID(545a368afd19ec4943e340eb),ObjectID(545a368afd19ec4943e340ea),1,0,0,,,,,,,,,,,,,
ObjectID(545a368afd19ec4943e340f9),ObjectID(545a368afd19ec4943e340ea),1,50,50,1,,1,,,,,,,,,,
ObjectID(545a368bfd19ec4943e34107),ObjectID(545a3676fd19ec4943e33ff7),1,19400,19400,0,4,1,,,,,,,,,,
ObjectID(545a368cfd19ec4943e34114),ObjectID(545a3669fd19ec4943e33f41),1,31800,31800,0,0,1,,,,,,,,,,
ObjectID(545a368dfd19ec4943e34121),ObjectID(545a3669fd19ec4943e33f41),1,32250,32250,0,0,1,,,,,,,,,,
ObjectID(545a368dfd19ec4943e3412e),ObjectID(545a3676fd19ec4943e33ff7),1,21100,21100,0,4,1,,,,,,,,,,
ObjectID(545a368efd19ec4943e3413b),ObjectID(545a3669fd19ec4943e33f41),1,33850,33850,0,4,1,,,,,,,,,,
ObjectID(545a368ffd19ec4943e34148),ObjectID(545a3669fd19ec4943e33f41),1,34950,34950,0,4,1,,,,,,,,,,
ObjectID(545a3690fd19ec4943e34155),ObjectID(545a3676fd19ec4943e33ff7),1,23600,23600,0,4,1,,,,,,,,,,
ObjectID(545a3690fd19ec4943e34162),ObjectID(545a366afd19ec4943e33f5e),1,35250,35250,0,4,1,,,,,,,,,,
